"SEASON","TEAM_NAME","WINS","LOSSES","WIN_PCT","WINS_5Y","LOSSES_5Y","WIN_PCT_5Y"
"2001","Seattle SuperSonics",45,37,0.549,220,158,0.582
"1952","New York Knicks",47,23,0.671,192,138,0.582
"2016","Atlanta Hawks",43,39,0.524,229,165,0.581
"2014","Houston Rockets",56,26,0.683,229,165,0.581
"2018","Portland Trail Blazers",53,29,0.646,238,172,0.58
"2021","Golden State Warriors",53,29,0.646,222,161,0.58
"1979","Boston Celtics",61,21,0.744,238,172,0.58
"2011","Phoenix Suns",33,33,0.5,228,166,0.579
"2015","Houston Rockets",41,41,0.5,228,166,0.579
"1989","Dallas Mavericks",47,35,0.573,237,173,0.578
"1997","Charlotte Hornets",51,31,0.622,237,173,0.578
"1977","New York Knicks",43,39,0.524,237,173,0.578
"2007","Houston Rockets",55,27,0.671,237,173,0.578
"1950","Washington Capitols",10,25,0.286,157,115,0.577
"1998","Portland Trail Blazers",35,15,0.7,218,160,0.577
"1954","Boston Celtics",36,36,0.5,202,148,0.577
"1956","Boston Celtics",44,28,0.611,207,152,0.577
"2011","Chicago Bulls",50,16,0.758,227,167,0.576
"1980","Los Angeles Lakers",54,28,0.659,236,174,0.576
"1980","Washington Bullets",39,43,0.476,236,174,0.576
"2016","Toronto Raptors",51,31,0.622,227,167,0.576
"1971","New York Knicks",48,34,0.585,235,173,0.576
"2005","Minnesota Timberwolves",33,49,0.402,236,174,0.576
"1993","Los Angeles Lakers",33,49,0.402,236,174,0.576
"2005","Indiana Pacers",41,41,0.5,236,174,0.576
"2004","Indiana Pacers",44,38,0.537,236,174,0.576
"2011","Houston Rockets",34,32,0.515,227,167,0.576
"2009","Houston Rockets",42,40,0.512,236,174,0.576
"1967","St. Louis Hawks",56,26,0.683,231,171,0.575
"1999","Phoenix Suns",53,29,0.646,217,161,0.574
"2013","Houston Rockets",54,28,0.659,226,168,0.574
"2001","Minnesota Timberwolves",50,32,0.61,217,161,0.574
"2016","Miami Heat",41,41,0.5,226,168,0.574
"1996","Portland Trail Blazers",49,33,0.598,235,175,0.573
"2009","Boston Celtics",50,32,0.61,235,175,0.573
"1992","Houston Rockets",55,27,0.671,235,175,0.573
"1955","Boston Celtics",39,33,0.542,202,151,0.572
"1954","Rochester Royals",29,43,0.403,199,149,0.572
"1956","Syracuse Nationals",38,34,0.528,206,154,0.572
"2015","Portland Trail Blazers",44,38,0.537,225,169,0.571
"1989","Philadelphia 76ers",53,29,0.646,234,176,0.571
"2001","Charlotte Hornets",44,38,0.537,216,162,0.571
"2007","Los Angeles Lakers",57,25,0.695,234,176,0.571
"1988","Dallas Mavericks",38,44,0.463,234,176,0.571
"1973","Chicago Bulls",54,28,0.659,234,176,0.571
"1979","Seattle SuperSonics",56,26,0.683,234,176,0.571
"1988","Denver Nuggets",44,38,0.537,234,176,0.571
"1994","Cleveland Cavaliers",43,39,0.524,234,176,0.571
"2020","Philadelphia 76ers",49,23,0.681,223,168,0.57
"1967","Cincinnati Royals",39,43,0.476,229,173,0.57
"1955","New York Knicks",35,38,0.479,201,152,0.569
"2019","Indiana Pacers",45,28,0.616,228,173,0.569
"1990","Milwaukee Bucks",48,34,0.585,233,177,0.568
"1984","Phoenix Suns",36,46,0.439,233,177,0.568
"1977","Golden State Warriors",43,39,0.524,233,177,0.568
"1972","Baltimore Bullets",52,30,0.634,233,177,0.568
"1996","Cleveland Cavaliers",42,40,0.512,233,177,0.568
"1993","Cleveland Cavaliers",47,35,0.573,233,177,0.568
"2020","San Antonio Spurs",33,39,0.458,221,168,0.568
"1988","Houston Rockets",45,37,0.549,232,178,0.566
"2001","Sacramento Kings",61,21,0.744,214,164,0.566
"1995","Indiana Pacers",52,30,0.634,232,178,0.566
"1980","Seattle SuperSonics",34,48,0.415,232,178,0.566
"1983","Seattle SuperSonics",42,40,0.512,232,178,0.566
"2016","Indiana Pacers",42,40,0.512,223,171,0.566
"1997","Miami Heat",55,27,0.671,232,178,0.566
"1987","Portland Trail Blazers",53,29,0.646,232,178,0.566
"1968","Cincinnati Royals",41,41,0.5,228,176,0.564
"2022","Miami Heat",44,38,0.537,220,171,0.563
"2021","Miami Heat",53,29,0.646,220,171,0.563
"1996","Indiana Pacers",39,43,0.476,231,179,0.563
"2007","Denver Nuggets",50,32,0.61,231,179,0.563
"1991","Cleveland Cavaliers",57,25,0.695,231,179,0.563
"2013","Atlanta Hawks",38,44,0.463,222,172,0.563
"1987","Atlanta Hawks",50,32,0.61,231,179,0.563
"1992","Seattle SuperSonics",55,27,0.671,231,179,0.563
"1984","San Antonio Spurs",41,41,0.5,231,179,0.563
"1983","San Antonio Spurs",37,45,0.451,231,179,0.563
"1997","Portland Trail Blazers",46,36,0.561,230,180,0.561
"2011","Portland Trail Blazers",28,38,0.424,221,173,0.561
"2020","Portland Trail Blazers",42,30,0.583,220,172,0.561
"2018","Cleveland Cavaliers",19,63,0.232,230,180,0.561
"2013","Phoenix Suns",48,34,0.585,221,173,0.561
"1956","Minneapolis Lakers",34,39,0.466,202,158,0.561
"1996","Charlotte Hornets",54,28,0.659,230,180,0.561
"2008","Boston Celtics",62,20,0.756,230,180,0.561
"1986","Detroit Pistons",52,30,0.634,230,180,0.561
"2011","Atlanta Hawks",40,26,0.606,221,173,0.561
"1959","St. Louis Hawks",46,29,0.613,205,161,0.56
"1965","St. Louis Hawks",36,44,0.45,221,174,0.559
"2003","Philadelphia 76ers",33,49,0.402,229,181,0.559
"1995","Orlando Magic",60,22,0.732,229,181,0.559
"1980","Milwaukee Bucks",60,22,0.732,229,181,0.559
"2006","Indiana Pacers",35,47,0.427,229,181,0.559
"1979","Los Angeles Lakers",60,22,0.732,229,181,0.559
"1978","Los Angeles Lakers",47,35,0.573,229,181,0.559
"2017","Indiana Pacers",48,34,0.585,229,181,0.559
"1996","Los Angeles Lakers",56,26,0.683,229,181,0.559
"1999","Atlanta Hawks",28,54,0.341,211,167,0.558
"1962","Syracuse Nationals",48,32,0.6,207,164,0.558
"2002","Phoenix Suns",44,38,0.537,211,167,0.558
"1999","Houston Rockets",34,48,0.415,211,167,0.558
"1956","New York Knicks",36,36,0.5,200,159,0.557
"2003","Detroit Pistons",54,28,0.659,228,182,0.556
"1992","San Antonio Spurs",49,33,0.598,228,182,0.556
